app_id,name,genre,price_usd,release_year,is_free
1196590,Resident Evil Village,Action,15.99,2021,0
2591280,F1® Manager 2024,Simulation,34.99,2024,0
2688950,Planet Coaster 2,Simulation,49.99,2024,0
1147560,Skul: The Hero Slayer,Action,19.99,2021,0
1817070,Marvel’s Spider-Man Remastered,Action,59.99,2022,0
2666510,Rusty's Retirement,Casual,6.99,2024,0
1237970,Titanfall® 2,Action,4.79,2020,0
1238860,Battlefield 4™,Action,3.99,2020,0
1971870,Mortal Kombat 1,Action,49.99,2023,0
1263850,Football Manager 2021,Sports,0.0,2020,1
1940340,Darkest Dungeon® II,Indie,39.99,2023,0
934700,Dead Island 2,Action,49.99,2024,0
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,Action,59.99,2023,0
2420110,Horizon Forbidden West™ Complete Edition,Action,59.99,2024,0
881020,Granblue Fantasy: Relink,Action,59.99,2024,0
1044720,Farthest Frontier,Indie,29.99,2022,0
1113000,Persona 4 Golden,RPG,19.99,2020,0
1336490,Against the Storm,Simulation,29.99,2023,0
1790600,DRAGON BALL: Sparking! ZERO,Action,69.99,2024,0
1210320,Potion Craft: Alchemist Simulator,Indie,19.99,2022,0
753640,Outer Wilds,Action,24.99,2020,0
975370,Dwarf Fortress,Indie,29.99,2022,0
362890,Black Mesa,Action,19.99,2020,0
1286680,Tiny Tina's Wonderlands,Action,59.99,2022,0
2000950,Call of Duty®: Modern Warfare®,Action,59.99,2023,0
1501750,Lords of the Fallen,Action,29.99,2023,0
1845910,Dragon Age™: The Veilguard,Action,59.99,2024,0
2835570,Buckshot Roulette,Action,2.99,2024,0
2054970,Dragon's Dogma 2,Action,39.89,2024,0
885970,Total War: ROME REMASTERED,Strategy,29.99,2021,0
1462040,FINAL FANTASY VII REMAKE INTERGRADE,Action,69.99,2022,0
1718570,ASTLIBRA Revision,Action,24.99,2022,0
2515020,FINAL FANTASY XVI,Action,49.99,2024,0
920210,LEGO® Star Wars™: The Skywalker Saga,Action,49.99,2022,0
1151640,Horizon Zero Dawn™ Complete Edition,Action,0.0,2020,1
848450,Subnautica: Below Zero,Adventure,29.99,2021,0
1057090,Ori and the Will of the Wisps,Action,29.99,2020,0
1030840,Mafia: Definitive Edition,Action,39.99,2020,0
1097150,Fall Guys,MMO,0.0,2020,1
2072450,Like a Dragon: Infinite Wealth,Action,69.99,2024,0
870780,Control Ultimate Edition,Action,7.99,2020,0
1272080,PAYDAY 3,Action,29.99,2023,0
1985810,Call of Duty®: Black Ops Cold War,Action,59.99,2023,0
784080,MechWarrior 5: Mercenaries,Action,29.99,2021,0
2369390,Far Cry® 6,Action,59.99,2023,0
1809540,Nine Sols,Action,29.99,2024,0
1846380,Need for Speed™ Unbound,Racing,9.79,2022,0
1651560,Fabledom,Casual,20.99,2024,0
1102190,Monster Train,Strategy,24.99,2020,0
1054490,Wingspan,Indie,19.99,2020,0
1213210,Command & Conquer™ Remastered Collection,Strategy,5.99,2020,0
1072040,Panzer Corps 2,Strategy,39.99,2020,0
1575940,Sins of a Solar Empire II,Simulation,49.99,2024,0
1030830,Mafia II: Definitive Edition,Action,29.99,2020,0
1324130,Stranded: Alien Dawn,Simulation,34.99,2023,0
1601580,Frostpunk 2,Simulation,44.99,2024,0
1562430,DREDGE,Adventure,16.19,2023,0
2108330,F1® 23,Racing,69.99,2023,0
2124490,SILENT HILL 2,Action,69.99,2024,0
1244090,Sea of Stars,Adventure,34.99,2023,0
2440510,Forza Motorsport,Racing,69.99,2023,0
1451190,Undisputed,Sports,49.99,2024,0
1332010,Stray,Adventure,29.99,2022,0
850190,Goat Simulator 3,Adventure,29.99,2024,0
597180,Old World,Simulation,39.99,2022,0
1235140,Yakuza: Like a Dragon,Action,19.99,2020,0
1659420,UNCHARTED™: Legacy of Thieves Collection,Adventure,49.99,2022,0
668580,Atomic Heart,Action,59.99,2023,0
1272320,Diplomacy is Not an Option,Indie,29.99,2024,0
1222690,Dragon Age™ Inquisition,Action,39.99,2020,0
1267540,WRC 9 FIA World Rally Championship,Racing,29.99,2021,0
368260,Marvel's Midnight Suns,RPG,59.99,2022,0
694280,Zombie Army 4: Dead War,Action,49.99,2021,0
1588010,PGA TOUR 2K23,Sports,59.99,2022,0
780290,Gloomhaven,Adventure,34.99,2021,0
756800,Contraband Police,Action,29.99,2023,0
1265820,Fights in Tight Spaces,Action,24.99,2021,0
1105670,The Last Spell,Action,14.99,2023,0
1629520,A Little to the Left,Casual,14.99,2022,0
1124300,HUMANKIND™,Strategy,49.99,2021,0
1875830,Shin Megami Tensei V: Vengeance,Adventure,59.99,2024,0
1488200,Symphony of War: The Nephilim Saga,Adventure,19.99,2022,0
1458140,Pacific Drive,Racing,20.99,2024,0
1637320,Dome Keeper,Action,17.99,2022,0
1971650,OCTOPATH TRAVELER II,RPG,59.99,2023,0
1096530,Solasta: Crown of the Magister,Adventure,29.99,2021,0
2138710,Sifu,Action,39.99,2023,0
1295500,"Warhammer 40,000: Battlesector",Strategy,39.99,2021,0
1817190,Marvel’s Spider-Man: Miles Morales,Action,49.99,2022,0
1676840,For The King II,Adventure,24.99,2023,0
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",RPG,44.99,2022,0
2933130,The Lord of the Rings: Return to Moria™,Adventure,24.99,2024,0
2291060,EARTH DEFENSE FORCE 6,Action,59.99,2024,0
2231450,Pizza Tower,Action,19.99,2023,0
1455840,Dorfromantik,Casual,13.99,2022,0
1084160,Jagged Alliance 3,Action,44.99,2023,0
760160,Vampire: The Masquerade - Bloodhunt,Action,0.0,2022,1
952060,Resident Evil 3,Action,9.99,2020,0
2218750,Halls of Torment,Action,6.66,2024,0
1372110,JoJo's Bizarre Adventure: All-Star Battle R,Action,49.99,2022,0
2064650,Tower of Fantasy,MMO,0.0,2022,1
1282730,Loop Hero,Indie,14.99,2021,0
1433140,The Texas Chain Saw Massacre,Action,19.99,2023,0
1245560,Roots of Pacha,Indie,24.99,2023,0
1128920,EVERSPACE™ 2,Action,19.99,2023,0
1357210,Galactic Civilizations IV,Simulation,49.99,2023,0
1180660,Tell Me Why,Adventure,19.99,2020,0
1127500,Mini Motorways,Casual,9.99,2021,0
418530,Spelunky 2,Action,19.99,2020,0
1693980,Dead Space,Action,17.99,2023,0
493520,GTFO,Action,39.99,2021,0
1785650,TopSpin 2K25,Sports,59.99,2024,0
1071870,Biped,Sports,14.99,2020,0
1583230,High On Life,Action,25.99,2022,0
2315690,WWE 2K24,Sports,29.99,2024,0
2198150,Tiny Glade,Casual,13.49,2024,0
986130,Shadows of Doubt,Action,24.99,2024,0
1268750,Starship Troopers: Extermination,Action,49.99,2024,0
898750,Super Robot Wars 30,RPG,59.99,2021,0
2005010,"Warhammer 40,000: Boltgun",Action,21.99,2023,0
1549970,Aliens: Fireteam Elite,Action,29.99,2021,0
1150440,Aliens: Dark Descent,Action,39.99,2023,0
1545560,Shadow Gambit: The Cursed Crew,Adventure,39.99,2023,0
2840770,Avatar: Frontiers of Pandora™,Action,34.99,2024,0
763890,Wildermyth,Indie,24.99,2021,0
1161580,Hardspace: Shipbreaker,Simulation,34.99,2022,0
2395210,Tony Hawk's™ Pro Skater™ 1 + 2,Sports,39.99,2023,0
2561580,Horizon Zero Dawn™ Remastered,Action,49.99,2024,0
851850,DRAGON BALL Z: KAKAROT,Action,59.99,2020,0
1222700,A Way Out,Action,5.99,2020,0
861650,Session: Skate Sim,Sports,39.99,2022,0
1782120,ZERO Sievert,Action,19.99,2024,0
1135690,Unpacking,Casual,19.99,2021,0
1672970,Minecraft Dungeons,Action,19.99,2021,0
1207650,Suzerain,Adventure,19.99,2020,0
1577120,The Quarry,Adventure,59.99,2022,0
633230,NARUTO TO BORUTO: SHINOBI STRIKER,Action,19.99,2023,0
2478970,Tomb Raider I-III Remastered Starring Lara Croft,Action,29.99,2024,0
1218210,Coromon,Adventure,19.99,2022,0
2187220,Apollo Justice: Ace Attorney Trilogy,Adventure,29.99,2024,0
2853730,Skull and Bones,Action,59.99,2024,0
1681430,RoboCop: Rogue City,Action,49.99,2023,0
2140020,Stronghold: Definitive Edition,Simulation,14.99,2023,0
1692250,F1® 22,Racing,0.0,2022,1
2058190,Lost Judgment,Action,59.99,2022,0
780310,The Riftbreaker,Action,29.99,2021,0
1157390,King Arthur: Knight's Tale,RPG,44.99,2022,0
860510,Little Nightmares II,Adventure,29.99,2021,0
1644320,Railway Empire 2,Simulation,49.99,2023,0
2698940,The Crew Motorfest,Racing,69.99,2024,0
1337520,Risk of Rain Returns,Action,14.99,2023,0
1088850,Marvel's Guardians of the Galaxy,Action,59.99,2021,0
719040,Wasteland 3,RPG,39.99,2020,0
1338770,Sniper Ghost Warrior Contracts 2,Action,39.99,2021,0
1641960,Forever Skies,Action,29.99,2023,0
979690,The Ascent,Action,29.99,2021,0
960990,Beyond: Two Souls,Action,19.99,2020,0
1735700,Back to the Dawn,Adventure,19.99,2023,0
1259980,RIDE 4,Racing,5.99,2020,0
1113560,NieR Replicant™ ver.1.22474487139...,Action,59.99,2021,0
1937500,Let's School,Casual,19.99,2023,0
1262580,Need for Speed™ Payback,Racing,7.49,2020,0
1496790,Gotham Knights,Action,59.99,2022,0
2455640,Romancing SaGa 2: Revenge of the Seven,RPG,49.99,2024,0
1605220,Dune: Spice Wars,Strategy,34.99,2023,0
1321440,Cassette Beasts,Indie,19.99,2023,0
2114740,Blasphemous 2,Action,14.99,2023,0
546560,Half-Life: Alyx,Action,59.99,2020,0
2058180,Judgment,Action,39.99,2022,0
745920,Temtem,MMO,44.99,2022,0
1382330,Persona® 5 Strikers,Action,59.99,2021,0
960910,Heavy Rain,Action,19.99,2020,0
1199030,Tainted Grail: Conquest,Action,19.99,2021,0
1498570,THE KING OF FIGHTERS XV,Action,59.99,2022,0
2239550,Watch Dogs®: Legion,Action,59.99,2023,0
2000890,MechWarrior 5: Clans,Action,49.99,2024,0
874390,The Battle of Polytopia,Action,14.99,2020,0
2401970,Ace Attorney Investigations Collection,Adventure,39.99,2024,0
1089090,ONE PIECE: PIRATE WARRIORS 4,Action,39.99,2020,0
1649080,Two Point Campus,Casual,29.99,2022,0
736820,Knights of Honor II: Sovereign,Simulation,44.99,2022,0
1487210,Super Mega Baseball™ 4,Sports,14.99,2023,0
1451090,Tactics Ogre: Reborn,RPG,49.99,2022,0
1280930,Astral Ascent,Action,24.99,2023,0
990630,The Last Campfire,Adventure,14.99,2021,0
1341290,We Were Here Forever,Adventure,8.99,2022,0
1016920,Unrailed!,Action,19.99,2020,0
740130,Tales of Arise,Action,39.99,2021,0
1369630,ENDER LILIES: Quietus of the Knights,Action,24.99,2021,0
1896700,Wylde Flowers,Adventure,24.99,2022,0
1351080,Pharaoh™: A New Era,Simulation,14.94,2023,0
680420,OUTRIDERS,Action,19.99,2021,0
1062810,Inkbound,RPG,17.99,2024,0
839770,Phoenix Point,RPG,24.99,2020,0
2725260,ENDER MAGNOLIA: Bloom in the Mist,Action,19.99,2024,0
1426450,Age of Darkness: Final Stand,Strategy,27.99,2021,0
1158850,The Great Ace Attorney Chronicles,Adventure,15.99,2021,0
1139900,Ghostrunner,Action,8.99,2020,0
2290180,Riders Republic,MMO,39.99,2023,0
1205970,MX vs ATV Legends,Racing,39.99,2022,0
1253920,Rogue Legacy 2,Action,24.99,2022,0
814370,Monster Sanctuary,Action,7.49,2020,0
1121640,The Wandering Village,Simulation,18.74,2022,0
1147860,UFO 50,Action,24.99,2024,0
2084000,Shogun Showdown,Indie,11.99,2024,0
1202130,Starship Troopers: Terran Command,Strategy,29.99,2022,0
3035570,Assassin's Creed Mirage,Action,49.99,2024,0
2155180,Pioneers of Pagonia,Simulation,29.99,2023,0
788100,Neon Abyss,Action,4.99,2020,0
1522820,Orcs Must Die! 3,Action,29.99,2021,0
1536620,Galactic Glitch,Action,12.99,2024,0
1533420,Neon White,Action,24.99,2022,0
1562700,SANABI,Action,14.99,2023,0
2933080,Crime Boss: Rockay City,Action,13.99,2024,0
1043810,Tactical Breach Wizards,Adventure,19.99,2024,0
315210,Suicide Squad: Kill the Justice League,Action,69.99,2024,0
1448440,Wo Long: Fallen Dynasty,Action,39.99,2023,0
700600,Evil Genius 2: World Domination,Simulation,39.99,2021,0
578650,The Outer Worlds,RPG,29.99,2020,0
1556790,Isonzo,MMO,29.99,2022,0
1931770,Chants of Sennaar,Adventure,19.99,2023,0
835960,The Talos Principle 2,Action,29.99,2023,0
