app_id,ccu,owners,avg_playtime_min,ccu_at_1yr,ccu_peak
2157560,1736,"200,000 .. 500,000",3241,985.0,7029.0
1669000,1707,"500,000 .. 1,000,000",3544,4614.0,42826.0
2161700,1683,"1,000,000 .. 2,000,000",3474,5198.0,36703.0
1876890,1679,"500,000 .. 1,000,000",3028,6743.0,22618.0
699130,1663,"1,000,000 .. 2,000,000",3025,3003.0,7943.0
1527950,1632,"1,000,000 .. 2,000,000",3873,4460.0,35769.0
1850570,1604,"1,000,000 .. 2,000,000",1692,2298.0,22020.0
1259420,1600,"2,000,000 .. 5,000,000",1993,4023.0,27380.0
1282100,1573,"1,000,000 .. 2,000,000",2422,8621.0,110756.0
1824220,1565,"2,000,000 .. 5,000,000",1898,3706.0,16901.0
1934680,1559,"500,000 .. 1,000,000",1798,8299.0,25815.0
1029690,1538,"2,000,000 .. 5,000,000",1469,4256.0,14794.0
1313140,1535,"2,000,000 .. 5,000,000",1138,3724.0,56262.0
1084600,1501,"500,000 .. 1,000,000",2387,3189.0,21620.0
1149460,1492,"500,000 .. 1,000,000",3131,5629.0,52305.0
427410,1458,"500,000 .. 1,000,000",2253,6136.0,29195.0
1325200,1441,"1,000,000 .. 2,000,000",4364,4453.0,41273.0
2231380,1430,"500,000 .. 1,000,000",1420,5770.0,14335.0
1244460,1413,"1,000,000 .. 2,000,000",1426,2799.0,20921.0
1449560,1391,"0 .. 20,000",729,2.0,7176.0
1222680,1385,"2,000,000 .. 5,000,000",1580,8003.0,85230.0
1593500,1380,"5,000,000 .. 10,000,000",1609,15447.0,73529.0
2208920,1379,"500,000 .. 1,000,000",2469,6329.0,18955.0
1129580,1366,"1,000,000 .. 2,000,000",2650,4949.0,31057.0
1627720,1363,"1,000,000 .. 2,000,000",1913,2720.0,29775.0
1158160,1328,"500,000 .. 1,000,000",2978,4554.0,15387.0
1506830,1319,"2,000,000 .. 5,000,000",10800,49251.0,108168.0
1092790,1301,"2,000,000 .. 5,000,000",1115,3444.0,17044.0
2321470,1300,"1,000,000 .. 2,000,000",1923,3104.0,56876.0
924970,1288,"1,000,000 .. 2,000,000",1800,6493.0,65873.0
1196590,1284,"2,000,000 .. 5,000,000",1230,2451.0,106631.0
2591280,1262,"100,000 .. 200,000",2050,2409.0,8092.0
2688950,1213,"200,000 .. 500,000",2187,2123.0,13648.0
1147560,1205,"1,000,000 .. 2,000,000",1836,3822.0,18876.0
1817070,1190,"2,000,000 .. 5,000,000",1624,6349.0,66093.0
2666510,1185,"200,000 .. 500,000",3325,1635.0,20876.0
1237970,1173,"5,000,000 .. 10,000,000",999,9360.0,27547.0
1238860,1153,"1,000,000 .. 2,000,000",1387,8383.0,12342.0
1971870,1149,"500,000 .. 1,000,000",1502,3923.0,26576.0
